Id,louvainId,wccId,pagerank
1492124791,26263.0,230.0,0.15
15729784,61022.0,231.0,0.15
465831039,232.0,232.0,0.9612404689154856
1027081346,1632.0,0.0,0.5837956103197939
1552658929750085633,234.0,234.0,0.9612404689154856
1577440594963697665,4602.0,0.0,0.2272727059554821
1541546716289273857,236.0,236.0,0.9612404689154856
1166808892615135233,237.0,237.0,0.2775
1001234085396844545,238.0,238.0,0.9612404689154856
1275442577664348161,239.0,239.0,0.2480749056746818
1200006853872291841,1172.0,0.0,0.2729492010852801
277611667,241.0,241.0,0.385875
596903064,11499.0,242.0,0.15
1295905170493038597,243.0,243.0,0.2775
1121345882371362818,39917.0,0.0,0.260869511831788
1013837835772858370,245.0,245.0,0.9612404689154856
1540503193175613440,246.0,246.0,0.9612404689154856
1575035473264795648,247.0,247.0,0.9612404689154856
1595837902281400320,248.0,248.0,0.9612404689154856
1553453582040588288,249.0,249.0,0.9612404689154856
1573745882759061504,250.0,250.0,0.9612404689154856
2884771,251.0,251.0,0.66
12321952,252.0,0.0,0.2916666666666667
192414897,253.0,253.0,0.9612404689154856
