index,author_id
652,2693008208
653,2323385174
654,143133544
655,490998646
656,211553152
657,623381376
658,1257245570
659,780929923
660,14420872
661,17566603
662,54266773
663,167250854
664,90704806
665,330042294
666,2396785596
667,69471185
668,139201492
669,14945261
670,161745903
671,789842159264473088
672,1571802371902128128
673,71568375
674,1522691977451651072
675,1574453758561599488
676,1469206905407127552
677,1581169273594167296
678,18091004
679,822348800
680,14683139
681,1931217932
682,1524880180342407169
683,1597490018322464769
684,846809175502077953
685,1579888224436207617
686,2253917208
687,1572020544161169410
688,1546722127004549122
689,1123080646182735872
690,1167512276670255104
691,1106299176017629184
692,1079626016191119360
693,145493051
694,1577641586636341251
695,1572279187360169987
696,1201180817092939777
697,1301546426225299457
698,745296239533658113
699,746793553985179649
700,1555818892970409987
701,250350672
702,1510757576253882372
703,1241380794007982082
704,752094302
705,764415074
706,3312454758
707,537922673
708,67112059
709,21761149
710,1317276798
711,882787518529363968
712,12848262
713,52956296
714,709364878
715,1060113558
716,1033504891573071872
717,4785704090
718,1572539401711894535
719,499649705
720,457444522
721,794037421
722,1855720621
723,1575578516397195264
724,3252
725,338955445
726,966773374583123968
727,1568942148195581953
728,5770442
729,100928719
730,423103701
731,4672720088
732,1339464773541519360
733,1267886042587291648
734,38244371
735,103550181
736,2154040561
737,379587825
738,15207668
739,861438161834172417
740,1717308666
741,425463037
742,145493246
743,3434351878
744,3244821769
745,829689102
746,109579534
747,1326414611101396992
748,3294891302
749,1521967268913385472
750,14159148
751,57937201
752,25955634
753,1214319515128889344
754,279711047
755,257953096
756,22023502
757,193203542
758,754453848
759,14421336
760,1337166321381945347
761,2680425823
762,717753695
763,1150445942887219201
764,724569446
765,2290617709
766,141036911
767,2511080844
768,125308308
769,189009300
770,2261519768
771,3834645913
772,294129065
773,133434802
774,484183477
775,490212791
776,547622332
777,39849409
778,4442033603
779,1366225834793697280
780,1374925577740812288
781,1375154595329146880
782,416812500
783,20975060
784,347868631
785,117968344
786,631770586
787,1088949722
788,316411358
789,554700260
790,3272084972
791,544214511
792,276041209
793,624168449
794,15207956
795,226758164
796,209718813
797,1520177142901968896
798,601361957
799,1431047719
800,3616280116
801,224661048
802,2871004738
803,842088074091888645
804,1047268940
805,1045696086
806,1542154254055612416
807,331615837
808,123211359
809,2296647283
810,149163636
811,236457592
812,1449738905310449664
813,1283345564030193664
814,971912667249233920
815,1093510016907333632
816,1573664369908633600
817,1573801392787148800
818,1516035636897239040
819,1551508502744649728
820,131599994
821,1525877057581993984
822,1718095494
823,1517555336
824,2351173256
825,1832128142
826,276303502
827,274206352
828,1594294257472491521
829,1573682201807540225
830,181145237
831,1461793553244475393
832,2429816471
833,1295305373986050049
834,1573781419847045121
835,966586032165736449
836,1086659419784597505
837,963645084
838,155717277
839,636751511
840,1497480899558100994
841,1241680135541137408
842,1215911403627913216
843,4704439998
844,174853829
845,1492207875598569475
846,4707061449
847,611847887
848,2159808218
849,578293467
850,552603355
851,366481116
852,1402573266951327748
853,1504521509792108548
854,1502330016956403716
855,1295847394421153794
856,204476140
857,3840
858,1046602632838635520
859,1031792987804655616
860,868224769
861,927426236137201664
862,1133254063536070656
863,917916135084908545
864,1045845322210074625
865,904405973661507585
866,1041152788087037953
867,969060908340207616
868,1069725931730755586
869,928205659497160706
870,992290735968870402
871,948987289815867393
872,613682959
873,1447636018723803142
874,1031049108763566082
875,1077517594205216770
876,1002164535422214146
877,1478138206696599554
878,1516507117859098624
879,61083422
880,582487840
881,783552308
882,34082620
883,209719104
884,121638729
885,1500500937219231753
886,519835485
887,571215713
888,954743863742263296
889,1024684128829140992
890,948128372055568384
891,1535138926050127872
892,286265209
893,46403451
894,1368831925453025281
895,95424382
896,147328902
897,415764360
898,943511471727800322
899,1576915469918945280
900,1575340127185944576
901,1572586083828776960
902,1579217263688826880
903,824008369455382528
904,1576698437705285632
905,1573271998964318208
906,1573565190880247808
907,1486760363580342272
908,1572587137169506304
909,3090943907
910,50073507
911,1070600101
912,49287084
913,1544811011630317569
914,205787056
915,1576739623757299713
916,123998132
917,436735925
918,396365748
919,96210874
920,1419828645238030338
921,1463626984139931650
922,2493517770
923,2397310923
924,25694156
925,2639531978
926,1398543306741661698
927,1108348879
928,1389643306917838850
929,1357909969
930,443551702
931,1575045533500063747
932,177475572
933,67112951
934,1374358084173316100
935,154931196
936,1394487819163209730
937,827904387653570560
938,1213122701256036353
939,1220455851736961024
940,1009674620553662464
941,909094221797134336
942,1540196166918213632
943,903819696746532864
944,1528909928898760704
945,1551005595250987008
946,1213345258680881152
947,1552914865383018497
948,1536890258117103618
949,1540670163271290883
950,708862499513176068
951,323489806
952,1290255765064650758
953,1543436939210002439
954,1940131855
955,1586612424546861061
956,2286651994
957,341577764
958,16519207
959,1021579310
960,415240253
961,45617221
962,1492012181512196096
963,440930379
964,1575045813851590656
965,1498290464579063808
966,821307803646234624
967,378802253
968,1561753231251935232
969,1522445089263521792
970,1572144892008140800
971,1581217456638595072
972,29102164
973,263458893
974,382472278
975,1478195281653075969
976,1335585626717097985
977,1582248770628161537
978,1597848972852400129
979,1968181369
980,1462860707049967618
981,1573936720420212738
982,1484421837476007938
983,294654076
984,1584969571743764482
985,2600210567
986,937125374810640386
987,162271376
988,8917142
989,790680
990,173019303
991,1173622951
992,1481835366294425604
993,1572987043826831364
994,710142617611186176
995,1324794514540843009
996,1538374426105942021
997,790728
998,1587156934968414213
999,3258978506
1000,2414350541
1001,2432438490
1002,545263836
1003,135794919
1004,133959912
1005,186913012
1006,147067130
1007,1689260300
1008,1577191323584577538
1009,3500675362
1010,1024350146602196994
1011,900655685066731520
1012,1301213156686082048
1013,1371541812
1014,1296147153103007744
1015,1274537519074422784
1016,998928644398559232
1017,1083046425267712000
1018,1258761633897295872
