author_id,tweet_id,conversation_author_id
1433410113176576000,1546856681539239937,1350150750966603777
1312971196292620289,1546856670147579907,364830542
1382847873814044674,1546856600903843841,98780424
1382847873814044674,1546856348234571776,98780424
132298807,1546856318677536769,1957610664
2985898193,1546855835220881409,1497516162535596035
1499941404394631168,1546855745316339713,1387581765032812550
3512234602,1546855107354136576,1268504616012038150
1639341984,1546855010545373184,1626294277
1033930793892995073,1546854985040023552,18856867
2944063743,1546854375951310849,1451513603987738624
1546174109784088577,1546853255774453767,158231281
1519570811392184325,1546852601052135424,742143
1416399218403680257,1546852517958811649,141084952
2900573699,1546851785544966146,14216123
1376183340546543618,1546851072635019265,1349149096909668363
1281581415646322689,1546850758741692417,413428207
91714276,1546850155227496448,1545031686831882242
1368927340919549964,1546849520222601218,623699437
267229309,1546848840900296704,1499680557826985985
1507718233763336196,1546848567939289095,950405989056106496
1520105800940675072,1546848234265403393,1255585449512296448
1050129089158365187,1546847993348882434,2320745983
1233143240637001745,1546847776956448768,7587032
169523585,1546847643292143617,30325257
91714276,1546847551491608576,1223730957267750913
1140919316360990720,1546847550786793473,1605088932
540996409,1546847482063339520,21947445
91714276,1546847235547226113,956704776565215233
1523379673534812160,1546846579994365952,8720562
1498056515185479684,1546846352612663296,18425738
1438451484207710216,1546846021959172097,1496321911218917383
1438451484207710216,1546845992469032960,1496321911218917383
1534451454253182976,1546845449612673031,787546010
97722003,1546844846266241024,1168968080690749441
774053153176166400,1546844730348437504,88199384
1216486464894177281,1546844050711580680,1080539438508400642
844185855296245760,1546843254070681600,2467791
1051066584100429824,1546843212177985536,1541363672538386432
2302081333,1546842363863224320,1432619138229358595
1534414085621678080,1546841647979401216,3198001863
1544708719203663872,1546841498146050048,1419728056923607046
1478778238629564422,1546841342705270785,19546277
1478339901082976263,1546841207288074243,745181456
1414233774238355459,1546841006099685376,1179367858159140869
1511004428777582600,1546841005177159681,1210216549
1414223727559069701,1546840408977719296,405605548
194671030,1546839885792923648,41751483
22802397,1546839817367035904,1722829178
1466248645305683968,1546839817056649216,23781736
198729166,1546839652358795264,4970411
1447168409628667907,1546839401418084354,30325257
537678190,1546839017400016907,40453161
1018747873868046336,1546838867059302400,413428207
3320597032,1546838266867077120,1505481949854502915
707658762123763712,1546837605177823232,2278007544
1432615720916078592,1546837255897190402,1540152384965312512
90829579,1546837217875611648,147994804
1541719539435638785,1546837149441572865,1368126066359824391
886514375388930048,1546834825050755072,775175696645623808
1438121666119409666,1546834634956324865,1305909315493130242
1031792987804655616,1546833123027320832,3151115166
1368927340919549964,1546832506183626753,2245610558
1926604970,1546832456199946242,1386663171533033474
1497391068119281667,1546832187210743809,943906396180905984
802137370598457344,1546831965264953345,2836421
610566625,1546831830220869633,833988769
304071162,1546831582421467138,1489358169587568648
304071162,1546831487177314304,20362684
1220738898176819201,1546831290229436417,245687754
1497391068119281667,1546830936226119681,1512557049103757318
721260625431826432,1546830619509813249,234265428
593107459,1546830543362428935,96938972
1497306734066556930,1546830264055336965,26792275
