tweet_id,Source,Target,conversation_id,limitedTopics
282856721888722945,5685812,,282856721888722945,"[6, 4, 5, 9, 7, 3, 0, 8, 1, 2]"
286347887451963392,17778401,,286347887451963392,"[6, 8, 5, 9, 7, 4, 2, 3, 0, 1]"
288440039774498816,34255829,,288440039774498816,"[6, 8, 4, 5, 7, 3, 2, 1, 9, 0]"
289657199574269952,143123533,,289657199574269952,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
289866710192910336,169845203,,289865332254986240,"[6, 8, 4, 7, 3, 1, 5, 9, 0, 2]"
292315516012478464,135945949,,292315516012478464,"[6, 4, 5, 9, 7, 2, 8, 1, 3, 0]"
294835619543269376,17137157,,294835619543269376,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
295078522748289024,16147688,,295078522748289024,"[6, 4, 5, 3, 2, 7, 9, 0, 8, 1]"
296413387221520384,34255829,,296413387221520384,"[6, 8, 4, 9, 7, 3, 5, 2, 0, 1]"
296658103150190592,493241646,,296658103150190592,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
296658106933473282,241301172,,296658106933473282,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
297060022188388352,372548499,,297060022188388352,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
298485111295463424,267283568,,298485111295463424,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
298968506031017985,18251414,,298968506031017985,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
299912482791763968,15367216,,299912482791763968,"[6, 8, 5, 9, 7, 2, 4, 1, 3, 0]"
306092468225601536,198911524,,306092468225601536,"[6, 8, 4, 5, 9, 0, 7, 2, 1, 3]"
306102337091543040,55308417,,306102337091543040,"[6, 8, 4, 5, 7, 3, 0, 2, 9, 1]"
306495261411262466,264399952,,306495261411262466,"[6, 4, 5, 7, 0, 9, 1, 2, 8, 3]"
307520698316894208,23242312,,307519930578923520,"[6, 8, 4, 5, 9, 3, 7, 2, 1, 0]"
307672156068786176,626103,,307577070794448896,"[6, 8, 4, 5, 9, 7, 0, 3, 2, 1]"
311213398505451521,29819203,,311213398505451521,"[6, 8, 5, 9, 7, 0, 3, 4, 1, 2]"
311346770850508800,16726512,,311346770850508800,"[6, 8, 5, 9, 7, 3, 0, 1, 4, 2]"
311380792473444353,34255829,,311378798383878144,"[6, 8, 4, 5, 9, 3, 7, 0, 1, 2]"
312247243904266242,34255829,,312247243904266242,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
312298488857780224,16581604,,312298488857780224,"[6, 8, 5, 9, 7, 3, 2, 4, 0, 1]"
312337971804246016,15135958,,312337971804246016,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
314045504919052289,266060880,,314045504919052289,"[6, 8, 5, 7, 3, 4, 2, 0, 9, 1]"
314220284989304834,19402238,,314220284989304834,"[6, 8, 4, 5, 7, 2, 9, 1, 0, 3]"
314220287082246145,126664186,,314220287082246145,"[6, 8, 4, 5, 7, 2, 9, 1, 0, 3]"
315437057025654784,14048901,,315437057025654784,"[6, 8, 4, 5, 9, 7, 0, 3, 2, 1]"
